央视,#genre#
CCTV1,http://222.186.39.38:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
cctv2,http://222.186.39.38:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
cctv3,http://222.186.39.38:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
cctv4,http://222.186.39.38:35455/itv/5000000011000031102.m3u8?cdn=bestzb
cctv5,http://222.186.39.38:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
cctv5+,http://222.186.39.38:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
cctv6,http://222.186.39.38:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV7,http://222.186.39.38:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
cctv8,http://222.186.39.38:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
cctv9,http://222.186.39.38:35455/itv/1000000001000014583.m3u8?cdn=ystenlive
cctv10,http://222.186.39.38:35455/itv/1000000001000023734.m3u8?cdn=ystenlive
cctv11,http://222.186.39.38:35455/itv/5000000011000031106.m3u8?cdn=bestzb
cctv12,http://222.186.39.38:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
cctv13,http://222.186.39.38:35455/itv/5000000011000031108.m3u8?cdn=bestzb
cctv14,http://222.186.39.38:35455/itv/1000000001000008170.m3u8?cdn=ystenlive
cctv15,http://222.186.39.38:35455/itv/5000000011000031109.m3u8?cdn=bestzb
cctv16,http://222.186.39.38:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
cctv17,http://222.186.39.38:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
cgtn,http://222.186.39.38:35455/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN记录,http://222.186.39.38:35455/itv/7114647837765104058.m3u8?cdn=hnbblive

卫视,#genre#
中国教育1台,http://222.186.39.38:35455/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育1台,http://222.186.39.38:35455/itv/5000000011000031126.m3u8?cdn=bestzb
北京卫视,http://222.186.39.38:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京纪实科教,http://222.186.39.38:35455/itv/1000000001000001910.m3u8?cdn=ystenlive
北京卡酷少儿,http://222.186.39.38:35455/itv/7851974109718180595.m3u8?cdn=bestzb
安徽卫视,http://222.186.39.38:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
东南卫视,http://222.186.39.38:35455/itv/5000000004000010584.m3u8?cdn=bestzb
甘肃卫视,http://222.186.39.38:35455/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://222.186.39.38:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广西卫视,http://222.186.39.38:35455/itv/5000000011000031118.m3u8?cdn=bestzb
贵州卫视,http://222.186.39.38:35455/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://222.186.39.38:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://222.186.39.38:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://222.186.39.38:35455/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://222.186.39.38:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
湖北卫视,http://222.186.39.38:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖南卫视,http://222.186.39.38:35455/itv/5000000004000006692.m3u8?cdn=bestzb
湖南金鹰卡通,http://222.186.39.38:35455/itv/5000000011000031203.m3u8?cdn=bestzb
湖南,http://222.186.39.38:35455/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶频道,http://222.186.39.38:35455/itv/5000000011000031209.m3u8?cdn=bestzb
吉林卫视,http://222.186.39.38:35455/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视,http://222.186.39.38:35455/itv/1000000001000001828.m3u8?cdn=ystenlive
江西卫视,http://222.186.39.38:35455/itv/1000000006000268001.m3u8?cdn=ystenlive
辽宁卫视,http://222.186.39.38:35455/itv/5000000004000011671.m3u8?cdn=bestzb
青海卫视,http://222.186.39.38:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://222.186.39.38:35455/itv/1000000001000016568.m3u8?cdn=ystenlive
上海东方影视,http://222.186.39.38:35455/itv/6000000001000003639.m3u8?cdn=wasusyt
上海ICS,http://222.186.39.38:35455/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://222.186.39.38:35455/itv/5000000010000027146.m3u8?cdn=bestzb
上海东方影视,http://222.186.39.38:35455/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://222.186.39.38:35455/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://222.186.39.38:35455/itv/5000000010000018926.m3u8?cdn=bestzb
